,pop_size,F,CR,mse
223,20,0.45,1.0,[100.94254303]
224,20,0.6,0.0,[105.97874451]
225,20,0.6,0.15,[105.02568817]
226,20,0.6,0.3,[101.02009583]
227,20,0.6,0.45,[99.2178421]
228,20,0.6,0.6,[101.81062317]
229,20,0.6,0.75,[100.42645264]
230,20,0.6,0.9,[101.42824554]
231,20,0.6,1.0,[100.50474548]
232,20,0.75,0.0,[105.70904541]
233,20,0.75,0.15,[103.06239319]
234,20,0.75,0.3,[100.69831848]
235,20,0.75,0.45,[102.91400909]
236,20,0.75,0.6,[109.04588318]
237,20,0.75,0.75,[102.28517151]
238,20,0.75,0.9,[102.105896]
239,20,0.75,1.0,[100.96791077]
240,20,0.9,0.0,[106.94319916]
241,20,0.9,0.15,[98.81485748]
242,20,0.9,0.3,[109.31324005]
243,20,0.9,0.45,[106.68302917]
244,20,0.9,0.6,[100.18596649]
245,20,0.9,0.75,[100.26539612]
246,20,0.9,0.9,[102.09835815]
247,20,0.9,1.0,[99.30032349]
248,20,1.0,0.0,[100.94081879]
249,20,1.0,0.15,[103.19257355]
250,20,1.0,0.3,[109.23028564]
251,20,1.0,0.45,[102.78423309]
252,20,1.0,0.6,[101.01364136]
253,20,1.0,0.75,[105.79692078]
254,20,1.0,0.9,[104.35251617]
255,20,1.0,1.0,[95.8795929]
