,pop_size,F,CR,mse
239,20,0.75,1.0,[1795.62768555]
240,20,0.9,0.0,[1750.34008789]
241,20,0.9,0.15,[1790.63146973]
242,20,0.9,0.3,[1774.60217285]
243,20,0.9,0.45,[1793.84777832]
244,20,0.9,0.6,[1798.8840332]
245,20,0.9,0.75,[1768.97924805]
246,20,0.9,0.9,[1794.56494141]
247,20,0.9,1.0,[1799.06555176]
248,20,1.0,0.0,[1781.6706543]
249,20,1.0,0.15,[1783.60620117]
250,20,1.0,0.3,[1794.83581543]
251,20,1.0,0.45,[1641.16394043]
252,20,1.0,0.6,[1726.74719238]
253,20,1.0,0.75,[1794.67224121]
254,20,1.0,0.9,[1797.85510254]
255,20,1.0,1.0,[1772.0723877]
